WARN  2022-09-06 22:46:03,449 [main][Main.java:16] : TEST
DEBUG 2022-09-06 22:46:03,514 [main][CoreLogging.java:28] : Logging Provider: org.jboss.logging.Log4jLoggerProvider
DEBUG 2022-09-06 22:46:03,523 [main][IntegratorServiceImpl.java:46] : Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
DEBUG 2022-09-06 22:46:03,526 [main][IntegratorServiceImpl.java:46] : Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
DEBUG 2022-09-06 22:46:03,531 [main][IntegratorServiceImpl.java:46] : Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
INFO  2022-09-06 22:46:03,626 [main][Version.java:45] : HHH000412: Hibernate Core {5.2.2.Final}
INFO  2022-09-06 22:46:03,629 [main][Environment.java:213] : HHH000206: hibernate.properties not found
INFO  2022-09-06 22:46:03,631 [main][Environment.java:318] : HHH000021: Bytecode provider name : javassist
DEBUG 2022-09-06 22:46:03,659 [main][LocalXmlResourceResolver.java:57] : Interpreting public/system identifier : [null] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
DEBUG 2022-09-06 22:46:03,660 [main][LocalXmlResourceResolver.java:85] : Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
DEBUG 2022-09-06 22:46:03,671 [main][JaxbCfgProcessor.java:116] : cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
DEBUG 2022-09-06 22:46:03,942 [main][Configuration.java:724] : Building session factory using internal StandardServiceRegistryBuilder
DEBUG 2022-09-06 22:46:03,947 [main][ServiceBinding.java:68] : Overriding existing service binding [org.hibernate.secure.spi.JaccService]
DEBUG 2022-09-06 22:46:03,947 [main][Configuration.java:652] : Building session factory using provided StandardServiceRegistry
DEBUG 2022-09-06 22:46:03,960 [main][RegionFactoryInitiator.java:75] : Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
INFO  2022-09-06 22:46:03,966 [main][JavaReflectionManager.java:66] : HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
DEBUG 2022-09-06 22:46:03,983 [main][BasicTypeRegistry.java:145] : Adding type registration boolean -> org.hibernate.type.BooleanType@9bcd5c12
DEBUG 2022-09-06 22:46:03,984 [main][BasicTypeRegistry.java:145] : Adding type registration boolean -> org.hibernate.type.BooleanType@9bcd5c12
DEBUG 2022-09-06 22:46:03,985 [main][BasicTypeRegistry.java:145] : Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@9bcd5c12
DEBUG 2022-09-06 22:46:03,986 [main][BasicTypeRegistry.java:145] : Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@b9fe9d48
DEBUG 2022-09-06 22:46:03,988 [main][BasicTypeRegistry.java:145] : Adding type registration true_false -> org.hibernate.type.TrueFalseType@97a3e57c
DEBUG 2022-09-06 22:46:03,989 [main][BasicTypeRegistry.java:145] : Adding type registration yes_no -> org.hibernate.type.YesNoType@d2681757
DEBUG 2022-09-06 22:46:03,991 [main][BasicTypeRegistry.java:145] : Adding type registration byte -> org.hibernate.type.ByteType@aa84583d
DEBUG 2022-09-06 22:46:03,992 [main][BasicTypeRegistry.java:145] : Adding type registration byte -> org.hibernate.type.ByteType@aa84583d
DEBUG 2022-09-06 22:46:03,993 [main][BasicTypeRegistry.java:145] : Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@aa84583d
DEBUG 2022-09-06 22:46:03,995 [main][BasicTypeRegistry.java:145] : Adding type registration character -> org.hibernate.type.CharacterType@947395e4
DEBUG 2022-09-06 22:46:03,996 [main][BasicTypeRegistry.java:145] : Adding type registration char -> org.hibernate.type.CharacterType@947395e4
DEBUG 2022-09-06 22:46:03,997 [main][BasicTypeRegistry.java:145] : Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@947395e4
DEBUG 2022-09-06 22:46:03,999 [main][BasicTypeRegistry.java:145] : Adding type registration short -> org.hibernate.type.ShortType@f6b64ddd
DEBUG 2022-09-06 22:46:03,999 [main][BasicTypeRegistry.java:145] : Adding type registration short -> org.hibernate.type.ShortType@f6b64ddd
DEBUG 2022-09-06 22:46:04,000 [main][BasicTypeRegistry.java:145] : Adding type registration java.lang.Short -> org.hibernate.type.ShortType@f6b64ddd
DEBUG 2022-09-06 22:46:04,001 [main][BasicTypeRegistry.java:145] : Adding type registration integer -> org.hibernate.type.IntegerType@2494b617
DEBUG 2022-09-06 22:46:04,002 [main][BasicTypeRegistry.java:145] : Adding type registration int -> org.hibernate.type.IntegerType@2494b617
DEBUG 2022-09-06 22:46:04,003 [main][BasicTypeRegistry.java:145] : Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@2494b617
DEBUG 2022-09-06 22:46:04,004 [main][BasicTypeRegistry.java:145] : Adding type registration long -> org.hibernate.type.LongType@2a430e86
DEBUG 2022-09-06 22:46:04,005 [main][BasicTypeRegistry.java:145] : Adding type registration long -> org.hibernate.type.LongType@2a430e86
DEBUG 2022-09-06 22:46:04,005 [main][BasicTypeRegistry.java:145] : Adding type registration java.lang.Long -> org.hibernate.type.LongType@2a430e86
DEBUG 2022-09-06 22:46:04,007 [main][BasicTypeRegistry.java:145] : Adding type registration float -> org.hibernate.type.FloatType@8767c4a3
DEBUG 2022-09-06 22:46:04,008 [main][BasicTypeRegistry.java:145] : Adding type registration float -> org.hibernate.type.FloatType@8767c4a3
DEBUG 2022-09-06 22:46:04,008 [main][BasicTypeRegistry.java:145] : Adding type registration java.lang.Float -> org.hibernate.type.FloatType@8767c4a3
DEBUG 2022-09-06 22:46:04,010 [main][BasicTypeRegistry.java:145] : Adding type registration double -> org.hibernate.type.DoubleType@3f16fd40
DEBUG 2022-09-06 22:46:04,010 [main][BasicTypeRegistry.java:145] : Adding type registration double -> org.hibernate.type.DoubleType@3f16fd40
DEBUG 2022-09-06 22:46:04,011 [main][BasicTypeRegistry.java:145] : Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@3f16fd40
DEBUG 2022-09-06 22:46:04,013 [main][BasicTypeRegistry.java:145] : Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@11345fb5
DEBUG 2022-09-06 22:46:04,013 [main][BasicTypeRegistry.java:145] : Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@11345fb5
DEBUG 2022-09-06 22:46:04,014 [main][BasicTypeRegistry.java:145] : Adding type registration big_integer -> org.hibernate.type.BigIntegerType@66c822eb
DEBUG 2022-09-06 22:46:04,015 [main][BasicTypeRegistry.java:145] : Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@66c822eb
DEBUG 2022-09-06 22:46:04,016 [main][BasicTypeRegistry.java:145] : Adding type registration string -> org.hibernate.type.StringType@4dd05385
DEBUG 2022-09-06 22:46:04,017 [main][BasicTypeRegistry.java:145] : Adding type registration java.lang.String -> org.hibernate.type.StringType@4dd05385
DEBUG 2022-09-06 22:46:04,018 [main][BasicTypeRegistry.java:145] : Adding type registration nstring -> org.hibernate.type.StringNVarcharType@dc7acac4
DEBUG 2022-09-06 22:46:04,021 [main][BasicTypeRegistry.java:145] : Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@f55e1436
DEBUG 2022-09-06 22:46:04,022 [main][BasicTypeRegistry.java:145] : Adding type registration url -> org.hibernate.type.UrlType@1a5bbc17
DEBUG 2022-09-06 22:46:04,022 [main][BasicTypeRegistry.java:145] : Adding type registration java.net.URL -> org.hibernate.type.UrlType@1a5bbc17
DEBUG 2022-09-06 22:46:04,025 [main][BasicTypeRegistry.java:145] : Adding type registration Duration -> org.hibernate.type.DurationType@d6bf24e7
DEBUG 2022-09-06 22:46:04,026 [main][BasicTypeRegistry.java:145] : Adding type registration java.time.Duration -> org.hibernate.type.DurationType@d6bf24e7
DEBUG 2022-09-06 22:46:04,033 [main][BasicTypeRegistry.java:145] : Adding type registration Instant -> org.hibernate.type.InstantType@2edfcb49
DEBUG 2022-09-06 22:46:04,033 [main][BasicTypeRegistry.java:145] : Adding type registration java.time.Instant -> org.hibernate.type.InstantType@2edfcb49
DEBUG 2022-09-06 22:46:04,035 [main][BasicTypeRegistry.java:145] : Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@80b29ddf
DEBUG 2022-09-06 22:46:04,035 [main][BasicTypeRegistry.java:145] : Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@80b29ddf
DEBUG 2022-09-06 22:46:04,037 [main][BasicTypeRegistry.java:145] : Adding type registration LocalDate -> org.hibernate.type.LocalDateType@91dfe3d
DEBUG 2022-09-06 22:46:04,037 [main][BasicTypeRegistry.java:145] : Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@91dfe3d
DEBUG 2022-09-06 22:46:04,039 [main][BasicTypeRegistry.java:145] : Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@67e01b8b
DEBUG 2022-09-06 22:46:04,039 [main][BasicTypeRegistry.java:145] : Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@67e01b8b
DEBUG 2022-09-06 22:46:04,040 [main][BasicTypeRegistry.java:145] : Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@b7e77e14
DEBUG 2022-09-06 22:46:04,041 [main][BasicTypeRegistry.java:145] : Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@b7e77e14
DEBUG 2022-09-06 22:46:04,042 [main][BasicTypeRegistry.java:145] : Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@4999f1d4
DEBUG 2022-09-06 22:46:04,043 [main][BasicTypeRegistry.java:145] : Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@4999f1d4
